cod_procedimiento;consejeria;org_instructor;denominacion;descripcion;siaci;numero_expedientes
835;Consejeria de bienestar social;Direccion general de discapacidad;Reconocimiento de la unidad de vinculación con perro de asistencia;Decreto 19/2022, de 22 de marzo, por el que se desarrolla la Ley 5/2018, de 21 de diciembre, de acceso al entorno  de las personas con discapacidad acompañadas de perros de asistencia.;SLLJ;8
837;Consejeria de bienestar social;Direccion general de discapacidad;Reconocimiento de la entidad de adiestramiento de perros de asistencia.;Decreto 19/2022, de 22 de marzo, por el que se desarrolla la Ley 5/2018, de 21 de diciembre, de acceso al entorno de las personas con discapacidad acompañadas de perros de asistencia.;SLLL;1
259;Consejeria de bienestar social;Direccion general de mayores;Resolución de 26/12/2017 y 28/12/2018 - Orden 44/2017 de 15/03/2017;Termalismo de Castilla-La Mancha;SH93;10094
1033;Consejeria de bienestar social;Direccion general de mayores;Programa de Termalismo de Castilla-La Mancha 2023;Resolución de 23/12/2022. Programa de Termalismo de Castilla-La Mancha 2023.;SH93;5444
912;Consejeria de bienestar social;Direccion general de mayores;Resolución de 31/01/2022 Termalismo de Castilla-La Mancha;Termalismo de Castilla-La Mancha;SH93;4510
1174;Consejeria de bienestar social;Direccion general de mayores;2024 - SH93 - Programa de Termalismo de Castilla-La Mancha 2024;Resolución de 18/06/2024, de la Dirección General de Mayores, por la que se convoca para el año 2024 el Programa de Termalismo de Castilla-La Mancha.;SH93;3919
516;Consejeria de bienestar social;Direccion general de mayores;Resolución de 30/12/2019, de la Dirección General de Mayores. Termalismo de Castilla-La Mancha para el año 2020;Termalismo de Castilla-La Mancha;SH93;3386
843;Consejeria de bienestar social;Direccion general de mayores;Resolución de 05/07/2021 Termalismo de Castilla-La Mancha;Termalismo de Castilla-La Mancha;SH93;2903
955;Consejeria de bienestar social;Direccion general de mayores;Mayores Activos (MYA), Resolución de 02/05/2022;Orden 41/2022 de la Consejería de Bienestar Social,por la que se establecen las bases reguladoreas del Programa Activos de Castilla-La Mancha;SL3G;413
412;Consejeria de bienestar social;Direccion general de mayores;Mayores Activos (MYA);Orden 154/2018 de la Consejería de Bienestar Social,por la que se establecen las bases reguladoreas del Programa Activos de Castilla-La Mancha;SL3G;314
886;Consejeria de bienestar social;Direccion general de mayores;Orden 51/2022, de 9 de marzo, por la que se convoca concierto social para el servicio de plazas residenciales, temporales y en centros de día para mayores;Concierto social para el servicio de plazas residenciales, estancias temporales y plazas en centros de día para personas mayores en la Junta de Comunidades de Castilla-La Mancha, para el periodo 2022-2025.;SLPW;200
927;Consejeria de bienestar social;Direccion general de mayores;Orden 147/2022, de 26 de julio, por la que se convoca concierto social para el servicio de plazas vinculadas a la construcción de residencias para mayores;Concierto social para el servicio de plazas residenciales en la Junta de Comunidades de Castilla-La Mancha vinculadas a la construcción de residencias para personas mayores.;SLUX;13
871;Consejeria de bienestar social;Secretaria general de la consejeria de bienestar social;Subvención destinada a la mejora de la accesibilidad de infraestructuras y equipamientos de las entidades locales con menos de mil habitantes;Orden 152/2021, de 21 de octubre, de la Consejería de Bienestar Social, por la que se establecen las bases reguladoras y se convocan las subvenciones destinadas a la mejora de la accesibilidad de infraestructuras y equipamientos de las entidades locales con una población inferior o igual a mil habitantes.;SLOK;287
1011;Consejeria de bienestar social;Secretaria general de la consejeria de bienestar social;Subvención destinada a la mejora de la accesibilidad de las viviendas en las que residan personas mayores con discapacidad o en situación de dependencia.;Orden 181/2022, de 20 de septiembre. Subvención destinada a la mejora de la accesibilidad de las viviendas en las que residan personas mayores con discapacidad o en situación de dependencia ubicadas en zonas rurales en situación de riesgo o de intensa despoblación.;SLVL;164
963;Consejeria de bienestar social;Secretaria general de la consejeria de bienestar social;Subvencion destinada a mejora de la accesibilidad de las viviendas en las que residan personas mayores con discapacidad o en situación de dependencia.;Orden 114/2022, de 9 de Junio, de la Consejería de Bienestar Social, por la que se establecen las bases reguladoras y se convocan las subvenciones destinadas a la mejora de la accesibilidad de las viviendas en las que residan personas mayores con discapacidad o en situación de dependencia.;SLVL;147
611;Consejeria de desarrollo sostenible;Direccion general de calidad ambiental;SLEE - Consultas;Solicitud de información sobre el sometimiento al procedimiento de evaluación ambiental;SLEE;5061
894;Consejeria de desarrollo sostenible;Direccion general de calidad ambiental;SIY3 - Planes y Programas;Evaluación ambiental estratégica de planes y programas;SIY3;14
654;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;Queja/reclamación/denuncia en materia de consumo;Queja/reclamación/denuncia en materia de consumo;SLHV;12045
945;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;Hojas de reclamaciones;Solicitud de hojas de reclamaciones para titulares de establecimientos o centros;S653;8838
649;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;Resolución Arbitral de Conflictos en Materia de Consumo;Resolución Arbitral de Conflictos en Materia de Consumo;S735;870
910;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLQO - Nuevas recogidas de residuos separadas y mejora de las existentes;Subvenciones para proyectos de implantación de nuevas recogidas de residuos separadas y mejora de las existentes;SLQO;69
922;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLRY - Construcción y mejora de puntos limpios en CLM;Solicitud de ayudas destinadas a actuaciones de construcción y mejora de instalaciones de recogida (puntos limpios) en municipios de Castilla-La Mancha con más de 5.000 habitantes;SLRY;43
1049;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLQO 2023 - Nuevas recogidas de residuos separadas y mejora de las existentes;L1. Subvenciones para proyectos de implantación de nuevas recogidas de residuos separadas y mejora de las existentes;SLQO;24
1052;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;KM1C - Instalaciones de recogida, triaje y mejora de tratamiento mecánico-biológico;L4. Ayudas destinadas a actuaciones de construcción de instalaciones de recogida, de triaje y clasificación y mejora de las plantas de tratamiento mecánico-biológico existentes;KM1C;20
923;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLS2 - Construcción de nuevas instalaciones para reutilización y reciclado;Línea 3. Solicitud ayudas desitandas a actuaciones para la construcción de nuevas instalaciones de preparación para la reutilización y el reciclado de otros flujos de residuos.;SLS2;15
956;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLTP - Ayudas a la implementación de proyectos de economía circular del sector turístico;Anexo 1: Solicitud de ayudas destinadas a la implementación de proyectos de economía circular en el ámbito del sector turístico de Castilla -La Mancha;SLTP;15
653;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;Consulta en materia de consumo;Consulta en materia de consumo;SLHU;10
1050;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLQX 2023 - Construcción y mejora de instalaciones para biorresiduos;Subvenciones para proyectos de construcción y mejora de instalaciones específicas para el tratamiento de los biorresiduos recogidos separadamente;SLQX;8
911;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;SLQX - Construcción y mejora de instalaciones para biorresiduos;Subvenciones para proyectos de construcción y mejora de instalaciones específicas para el tratamiento de los biorresiduos recogidos separadamente;SLQX;7
1051;Consejeria de desarrollo sostenible;Direccion general de economia circular y agenda 2030;KM1D - Ayudas para construcción de nuevas instalaciones de reutilización y reciclado;L3. Solicitud de ayudas destinadas a actuaciones para construcción de nuevas instalaciones de preparación para reutilización y reciclado de otros flujos de residuos;KM1D;6
876;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLOJ - Ayudas Bono Social Térmico;Programa de ayudas para compensar los gastos térmicos ocasionados a los consumidores más vulnerables por el uso de la calefacción y el agua caliente o cocina.;SLOJ;252126
86;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Certificados de eficiencia energética de edificios;Inscripción en el registro de certificados de eficiencia energética de edificios de Castilla-La Mancha.;SJM3;191679
884;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLPT - Ayudas para actuaciones de autoconsumo en el sector residencial, las administraciones públicas y el tercer sector;Convocatoria de los programas de incentivos 4 y 5 para actuaciones de autoconsumo, con fuentes de energias renovables, en el sector residencial, las administraciones publicas y el tercer sector.;SLPT;25845
1111;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;2024 - Certificados de eficiencia energética de edificios;Inscripción en el registro de certificados de eficiencia energética de edificios de Castilla-La Mancha.;SJM3;15831
844;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Programa MOVES III - Adquisición de vehículos electrícos;Solicitud de Ayuda MOVES III para la adquisición de vehículos electrícos;SLN5;4767
883;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLPS - Ayudas para actuaciones de autoconsumo con fuentes de energías renovables, para el sector servicios y otros programas productivos.;Convocatoria de los programas de incentivos 1, 2 y 3 para actuaciones de autoconsumo, con fuentes de energias renovables, para el sector servicios y otros sectores productivos.;SLPS;4452
885;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLPU - Ayudas para actuaciones de autoconsumo con fuentes de energía renovable para la realización de instalaciones térmicas en el sector residencial.;Convocatoria del programa de incentivos 6 para la realizacion de instalaciones de energias renovables termicas en el sector residencial.;SLPU;3166
845;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Programa MOVES III - Implantación de infraestructuras de recarga;Solicitud de Ayuda MOVES III para la implantación de infraestructuras de recarga de vehículos eléctricos;SLN6;2857
614;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Programa MOVES II;Ayudas del programa MOVES 2020;SL8R;573
967;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLVS - Solicitud de ayuda para la realización de instalaciones de energías renovables térmicas en diferentes sectores de la economía. Convocatoria 2022;Solicitud de ayuda para la realización de instalaciones de energías renovables térmicas en diferentes sectores de la economía. Convocatoria 2022;SLVS;144
1095;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SLG0-Depósito de Garantía.;SLG0-Presentación del resguardo de depósito de garantía para tramitar la solicitud de acceso a las redes de transporte o distribución de instalaciones de producción de energía eléctrica;SLG0;140
346;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Selección y ejecución de proyectos relativos a actuaciones para ahorro y eficiencia energética en alumbrado público exterior. Convocatoria 2018.;Resolución de 21/03/2018, de la Dirección General de Industria, Energía y Minería por la que se aprueba la convocatoria de expresiones de interés para la selección y ejecución de proyectos, relativos a actuaciones para ahorro y eficiencia energética en alumbrado público exterior.;SKZ4;135
347;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;Selección y ejecución de proyectos relativos a actuaciones para ahorro y eficiencia energética en edificaciones de la administración local. Convocatoria 2018.;Resolución de 21/03/2018, de la Dirección General de Industria, Energía y Minería por la que se aprueba la convocatoria de expresiones de interés para la selección y ejecución de proyectos, relativos a actuaciones para ahorro y eficiencia energética en edificaciones de la administración local.;SKZ5;112
1096;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;SJ9V-Devolución garantía depositada para tramitar la solicitud de acceso a la red transporte o distribución de instalaciones de producción de energía eléctrica;Devolución de garantía depositada para tramitar la solicitud de acceso a la red transporte o distribución de instalaciones de producción de energía eléctrica.;SJ9V;82
958;Consejeria de desarrollo sostenible;Direccion general de transicion energetica;PRESENTACION DEPOSITO DE GARANTIA PARA TRAMITAR LA SOLICITUD DE ACCESO A LAS REDES DE LAS INSTALACIONES DE PRODUCCION DE ENERGIA ELECTRICA.;PRESENTACION DEPOSITO DE GARANTIA PARA TRAMITAR LA SOLICITUD DE ACCESO A LAS REDES DE LAS INSTALACIONES DE PRODUCCION DE ENERGIA ELECTRICA.;SJ9V;1
555;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SJF4 - Comunicacion de la celebracion de monterias, ganchos, batidas, jabali en mano, ojeos de perdiz y tiradas contempladas en el plan de ordenacion cinegetica;SJF4 - Comunicación de la celebración de monterías, ganchos, batidas, jabalí en mano, ojeos de perdiz y tiradas de aves acuáticas contempladas en el plan de ordenación cinegética.;SJF4;27454
536;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;MKRK - Memoria Anual de Gestión Cinegética;MKRK - Memoria Anual de Gestión Cinegética;MKRK;26239
547;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SK0V - Solicitud de Autorización Excepcional de Captura de Especies Cinegéticas.;SK0V - Solicitud de Autorización Excepcional de Captura de Especies Cinegéticas.;SK0V;16474
944;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;MKQD - Comunicación sobre el control de daños por conejo de monte en terrenos incluidos e n la declaración de comarca de emergencia cinegética temporal;MKQD - Comunicación sobre el control de daños por conejo de monte en terrenos incluidos e n la declaración de comarca de emergencia cinegética temporal;MKQD;12034
567;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SA82 - Solicitud de constitución de coto de caza/ zona colectiva de caza ;SA82 - Solicitud de constitución de coto de caza/ zona colectiva de caza ;SA82;6192
973;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Declaracion responsable de corta y poda;Declaracion responsable de corta y poda;SJNW;5978
864;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;MLEC - Comunicación de resultados de la actividad cinegética durante el periodo de media veda;MLEC - Comunicación de resultados de la actividad cinegética durante el periodo de media veda;MLEC;3871
635;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Autorización de instrumentos de gestión forestal sostenible.;Autorización de instrumentos de gestión forestal sostenible.;SL5L;2903
551;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;S261 - Solicitud de Autorización de Suelta de Piezas de Caza Vivas;S261 - Solicitud de Autorización de Suelta de Piezas de Caza Vivas;S261;2628
946;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;MLTH-Comunicación de sueltas de piezas de caza viva;MLTH-Comunicación de sueltas de piezas de caza viva en cuarteles de caza comercial.;MLTH;1896
566;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SI7P-Solicitud de autorización de aprovechamiento forestal;Solicitud de autorización de aprovechamiento forestal.;SI7P;1827
572;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Ocupaciones en Vías Pecuarias;Ocupaciones en Vías Pecuarias;S244;996
571;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SKT8 - Solicitud de modificación de coto de caza/zona colectiva de caza;SKT8 - Solicitud de modificación de coto de caza/zona colectiva de caza;SKT8;963
847;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SJF6 - Aprobación Plan de Ordenación Cinegética;SJF6 - Aprobación Plan de Ordenación Cinegética;SJF6;907
570;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SKT7 - Solicitud de cambio de titularidad de coto de caza o zona colectiva de caza;SKT7 - Solicitud de cambio de titularidad de coto de caza o zona colectiva de caza;SKT7;498
641;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SG88-Solicitud de cambio de uso forestal;Cambio de uso forestal;SG88;467
461;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Ocupaciones en Montes Demaniales;Ocupaciones en Montes Demaniales;SJFQ;214
1238;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;KM77 - Ayudas para trabajos selvícolas de mejora de masas en resinación;KM77 - Ayudas para tratamientos selvícolas de mejora de masas en resinación y acondicionamiento de futuras masas de resinación, en el marco del Plan de Recuperación, Transformación y Resiliencia;KM77;38
1048;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SKQG-Solicitud de inscripción en el registro de explotaciones cinegéticas exteriores;SKQG-Solicitud de inscripción en el registro de explotaciones cinegéticas exteriores;SKQG;7
1147;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SJNK-Autorización/Declaración responsable de usos compatibles/complementarios en vías pecuarias;SJNK-Autorización/Declaración responsable de usos compatibles/complementarios en vías pecuarias;SJNK;7
1162;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;SJFH - Declaración de Asociaciones de pescadores como colaboradoras;SJFH - Declaración de Asociaciones de pescadores como colaboradoras;SJFH;7
342;Consejeria de desarrollo sostenible;Direccion general medio natural y biodiversidad;Selección y ejecución de proyectos relativos a la adecuación medioambiental de carreteras muy impactantes ambientalmente. Convocatoria 2018.;Resolución de 21/03/2018, de la Dirección General de Política Forestal y Espacios Naturales, por la que se aprueba la convocatoria de expresiones de interés para la selección y ejecución de proyectos relativos a la adecuación medioambiental de carreteras muy impactantes ambientalmente.;SKZ0;3
1165;Consejeria de desarrollo sostenible;Secretaria general de desarrollo sostenible;KM2Z-Solicitud de Cartografía de la Consejería de Desarrollo Sostenible;KM2Z-Solicitud de Cartografía de la Consejería de Desarrollo Sostenible;KM2Z;3
1148;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;KM3F-Autorización para excepción de limitación para utilización de maquinaria y equipos en los montes y áreas rurales;KM3F-Autorización para excepción de limitación para utilización de maquinaria y equipos en los montes y áreas rurales;KM3F;4225
429;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJBC - Solicitud de Información Ambiental;Solicitud de Información Ambiental;SJBC;496
1131;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJF3 - Comunicación acciones excepcionales para el control de daños producidos por especies cinegéticas autorizadas en la resolución aprobatoria del POC;SJF3 - Comunicación de realización de acciones excepcionales para el control de daños producidos por especies cinegéticas autorizadas en la resolución aprobatoria del Plan de Ordenación Cinegética;SJF3;452
1125;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJFI-Autorización de concursos y competiciones de pesca nocturna;SJFI-Autorización de concursos y competiciones de pesca nocturna;SJFI;395
1141;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SLZA-Solicitud de informe en relación a accidentes de tráfico ocurridos por atropello de especies cinegéticas.;SLZA-Solicitud de informe en relación a accidentes de tráfico ocurridos por atropello de especies cinegéticas.;SLZA;246
1137;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SKPE-Autorización de competiciones y concursos de pesca;SKPE-Autorización de competiciones y concursos de pesca;SKPE;175
345;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;Proyectos para la mejora de la gestión de residuos domésticos y residuos de construcción y demolición por parte de las entidades locales. Convocatoria 2018.;Resolución de 21/03/2018,de la Viceconsejería de Medio Ambiente por la que se aprueba la convocatoria de expresiones de interés para la selección y ejecución de proyectos para la mejora de la gestión de residuos domésticos y residuos de construcción y demolición por parte de las entidades locales de Castilla-la Mancha.;SKZ3;69
1246;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;MKDH - Comunicación para la realización de repoblaciones en cotos de pesca;MKDH - Comunicación para la realización de repoblaciones en cotos de pesca;MKDH;22
1214;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;S485 - 2024 - Cursos de formación de jóvenes pescadores (Escuela Regional de Pesca Fluvial);S485 - 2024 - Cursos de formación de jóvenes pescadores (Escuela Regional de Pesca Fluvial);S485;21
1166;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJFC - Autorización de pesca científica;SJFC - Autorización de pesca científica;SJFC;12
1139;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;S204-Autorización o modificación para la instalación de una granja cinegética;S204-Autorización o modificación para la instalación de una granja cinegética;S204;11
1132;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJH1-SOLICITUD DE APROBACIÓN O REVISIÓN DE PLAN TÉCNICO DE PESCA;SOLICITUD DE APROBACIÓN O REVISIÓN DE PLAN TÉCNICO DE PESCA;SJH1;6
1133;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJKV-SOLICITUD DE PARTICIPACIÓN EN CONCURSO PARA LA CONCESIÓN DE COTOS DE PESCA A SOCIEDADES COLABORADORAS.;SOLICITUD DE PARTICIPACIÓN EN CONCURSO PARA LA CONCESIÓN DE COTOS DE PESCA A SOCIEDADES COLABORADORAS.;SJKV;5
1140;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SKKX-Memoria anual de gestión (granjas cinegéticas);SKKX-Memoria anual de gestión (granjas cinegéticas);SKKX;5
1161;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SKBO -Designación como vocal del Consejo Regional y de los Consejos Provinciales de Pesca;SKBO -Designación como vocal del Consejo Regional y de los Consejos Provinciales de Pesca;SKBO;4
1124;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;S025-2023-AYUDAS ACUICULTURA;S025-2023-SOLICITUD DE AYUDAS PARA EL FOMENTO DE LA ACUICULTURA EN CASTILLA LA MANCHA. CONVOCATORIA 2023;S025;3
1149;Consejeria de desarrollo sostenible;Viceconsejeria de medio ambiente;SJW9-Solicitud de autorización de quema de restos vegetales en monte o terreno forestal;SJW9-Solicitud de autorización de quema de restos vegetales en monte o terreno forestal;SJW9;1
102;Consejeria de economia, empresas y empleo;Consejeria de economia, empresas y empleo;Orden de 28/10/2013;Subvenciones destinadas a la realización de acciones de investigación e innovación para la mejora de la formación profesional, así como de información y orientación profesional;SIRE;3
576;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Subvención dirigida a TRABAJADORES AUTÓNOMOS afectados por el COVID-19, para la reactivación de la actividad económica y el empleo. ;Subvención dirigida a TRABAJADORES AUTÓNOMOS afectados por el COVID-19, para la reactivación de la actividad económica y el empleo. ;SLD6;27785
557;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;ERTEs por fuerza mayor como consecuencia del COVID-19;Expediente regulación temporal de empleo por fuerza mayor COVID-19;MLCV;19544
266;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Depósito de Cuentas (DECRETO 214/2015);Depósito de Cuentas Anuales de las Sociedades Cooperativas en el Registro de Cooperativas de Castilla-La Mancha.;SKFL;7241
241;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Resolución de 30/11/2016;Resolución de 30/11/2016, de la Dirección General de Programas de Empleo, por la que se aprueba para el ejercicio 2016 la convocatoria de subvenciones destinadas al fomento del inicio de la actividad de las personas emprendedoras en Castilla-La Mancha;SKOM;7091
634;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;ERTE Derivado por COVID-19 por Rebrote, Impedimento o Limitación de la Actividad;ERTE Derivado por COVID-19 por Rebrote, Impedimento o Limitación de la Actividad;MLCV;5114
659;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Subvención dirigida a TRABAJADORES AUTÓNOMOS afectados por el COVID-19, para el mantenimiento de la actividad. ;Subvención dirigida a TRABAJADORES AUTÓNOMOS afectados por el COVID-19, para el mantenimiento de la actividad. ;SLIE;5091
907;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Orden 194/2021. Línea 1.- Subvenciones para el inicio y mantenimiento de la actividad de las personas trabajadoras autónomas;Orden 194/2021. Línea 1.- Subvenciones para el inicio y mantenimiento de la actividad de las personas trabajadoras autónomas. PLAN DE RECUPERACIÓN, TRANSFORMACIÓN Y RESILENCIA- FINANCIADO POR LA UNIÓN EUROPEA-NEXT GENERATION EU;SLRB;4457
1195;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;2024-KM2I-Línea 1.- Subvenciones para el establecimiento de personas desempleadas como trabajadoras autónomas. Decreto 33/2023. Orden 14/05/2024.;SOLICITUD DE AYUDA PARA EL ESTABLECIMIENTO Y CONSOLIDACIÓN DE PROYECTOS DE LAS PERSONAS TRABAJADORAS AUTÓNOMAS. Línea 1 Convocatoria 2024. Decreto 33/2023. Orden 14/05/2024.;KM2I;3287
650;Consejeria de economia, empresas y empleo;Direccion general de autonomos, trabajo y economia social;Subvención dirigida al INICIO Y MANTENIMIENTO DE LA ACTIVIDAD de las personas trabajadoras autónomas y del familiar colaborador afectados por el COVID-19. ;Subvención dirigida al INICIO Y MANTENIMIENTO DE LA ACTIVIDAD de las personas trabajadoras autónomas y del familiar colaborador afectados por el COVID-19. ;SLHS;3134
